,gender,language,race_ethnic,accepted
0,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
1,Male,0,People of Color,YES
2,Female,0,"White, European American, or Caucasian",YES
3,Neither or Prefer not to say,0,People of Color,YES
4,Male,0,People of Color,NO
5,Female,1,"White, European American, or Caucasian",YES
6,Male,1,"White, European American, or Caucasian",YES
7,Female,1,People of Color,YES
8,Male,0,No answer or Prefer not to say,NO
9,Male,1,People of Color,YES
10,Male,0,People of Color,NO
11,Male,1,People of Color,YES
12,Male,0,People of Color,YES
13,Male,1,"White, European American, or Caucasian",NO
14,Female,1,People of Color,YES
15,Female,0,"White, European American, or Caucasian",YES
16,Male,1,People of Color,NO
17,Female,1,People of Color,YES
18,Female,1,People of Color,NO
19,Male,1,People of Color,YES
20,Male,0,People of Color,YES
21,Male,1,"White, European American, or Caucasian",YES
22,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
23,Male,0,"White, European American, or Caucasian",YES
24,Male,1,"White, European American, or Caucasian",NO
25,Female,1,People of Color,YES
26,Female,0,People of Color,YES
27,Male,0,People of Color,NO
28,Female,1,"White, European American, or Caucasian",YES
29,Male,1,"White, European American, or Caucasian",YES
30,Male,0,People of Color,YES
31,Female,0,"White, European American, or Caucasian",YES
32,Female,0,People of Color,YES
33,Female,0,People of Color,YES
34,Female,0,People of Color,NO
35,Female,0,People of Color,YES
36,Male,1,People of Color,YES
37,Male,0,"White, European American, or Caucasian",YES
38,Female,1,"White, European American, or Caucasian",YES
39,Male,0,"White, European American, or Caucasian",YES
40,Female,1,People of Color,YES
41,Female,1,"White, European American, or Caucasian",YES
42,Female,1,"White, European American, or Caucasian",YES
43,Male,0,People of Color,YES
44,Female,0,People of Color,YES
45,Female,1,"White, European American, or Caucasian",YES
46,Male,0,People of Color,NO
47,Male,0,People of Color,YES
48,Female,1,"White, European American, or Caucasian",NO
49,Male,0,People of Color,YES
50,Female,1,"White, European American, or Caucasian",YES
51,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
52,Male,0,"White, European American, or Caucasian",YES
53,Male,1,"White, European American, or Caucasian",YES
54,Female,1,"White, European American, or Caucasian",YES
55,Female,0,"White, European American, or Caucasian",NO
56,Male,0,"White, European American, or Caucasian",YES
57,Female,1,"White, European American, or Caucasian",YES
58,Male,1,"White, European American, or Caucasian",NO
59,Female,0,People of Color,YES
60,Female,0,People of Color,YES
61,Male,0,People of Color,YES
62,Female,1,"White, European American, or Caucasian",NO
63,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
64,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
65,Female,0,People of Color,YES
66,Male,0,People of Color,YES
67,Male,0,People of Color,NO
68,Male,1,"White, European American, or Caucasian",YES
69,Female,1,"White, European American, or Caucasian",YES
70,Female,0,People of Color,NO
71,Male,1,"White, European American, or Caucasian",NO
72,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
73,Neither or Prefer not to say,0,No answer or Prefer not to say,NO
74,Neither or Prefer not to say,0,No answer or Prefer not to say,YES
75,Male,1,People of Color,NO
76,Female,1,"White, European American, or Caucasian",YES
77,Male,1,"White, European American, or Caucasian",NO
78,Male,0,People of Color,YES
79,Male,0,People of Color,YES
