,python,language,gender,position,race_ethnic,lgbtq,nonbin_trans
0,2,0,Neither or Prefer not to say,Industry,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
1,37,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
2,11,0,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
3,43,0,Neither or Prefer not to say,Government,People of Color,Yes,Non-binary/third gender
4,9,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
5,14,1,Female,Tribal Government,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
6,69,1,Male,Research Staff,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
7,16,1,Female,Faculty,People of Color,No or Prefer not to say,Binary or Prefer not to say
8,17,0,Male,Industry,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
9,0,1,Male,Faculty,People of Color,No or Prefer not to say,Binary or Prefer not to say
10,2,0,Male,Research Staff,People of Color,No or Prefer not to say,Binary or Prefer not to say
11,10,1,Male,Industry,People of Color,No or Prefer not to say,Binary or Prefer not to say
12,3,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
13,38,1,Male,Industry,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
14,55,1,Female,Research Staff,People of Color,No or Prefer not to say,Binary or Prefer not to say
15,8,0,Female,Research Staff,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
16,36,1,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
17,20,1,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
18,2,1,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
19,31,1,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
20,1,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
21,1,1,Male,Faculty,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
22,27,0,Neither or Prefer not to say,grad_postgrad,No answer or Prefer not to say,No or Prefer not to say,Binary or Prefer not to say
23,20,0,Male,Postdoc,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
24,20,1,Male,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
25,20,1,Female,Government,People of Color,No or Prefer not to say,Binary or Prefer not to say
26,2,0,Female,Research Staff,People of Color,No or Prefer not to say,Binary or Prefer not to say
27,3,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
28,68,1,Female,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
29,56,1,Male,grad_postgrad,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
30,30,0,Male,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
31,14,0,Female,Industry,"White, European American, or Caucasian",No or Prefer not to say,Binary or Prefer not to say
32,28,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
33,23,0,Female,grad_postgrad,People of Color,No or Prefer not to say,Binary or Prefer not to say
34,27,0,Female,Faculty,People of Color,No or Prefer not to say,Binary or Prefer not to say
