,motivation,accepted
0,2.75,YES
1,2.75,YES
2,4.0,YES
3,1.0,YES
4,2.0,NO
5,3.0,YES
6,2.5,YES
7,3.0,YES
8,2.25,NO
9,0.5,YES
10,0.75,NO
11,4.0,YES
12,3.0,YES
13,0.5,NO
14,4.0,YES
15,2.25,YES
16,1.0,NO
17,4.0,YES
18,2.5,NO
19,2.0,YES
20,3.0,YES
21,4.0,YES
22,4.0,YES
23,4.0,YES
24,3.0,NO
25,2.5,YES
26,4.0,YES
27,2.5,NO
28,4.0,YES
29,4.0,YES
30,4.0,YES
31,4.0,YES
32,4.0,YES
33,3.0,YES
34,2.5,NO
35,2.75,YES
36,3.0,YES
37,1.5,YES
38,2.5,YES
39,3.0,YES
40,3.0,YES
41,3.0,YES
42,2.0,YES
43,2.75,YES
44,3.0,YES
45,2.5,YES
46,2.0,NO
47,3.0,YES
48,2.0,NO
49,2.75,YES
50,4.0,YES
51,2.5,YES
52,2.75,YES
53,3.0,YES
54,1.0,YES
55,1.5,NO
56,0.75,YES
57,3.0,YES
58,2.25,NO
59,3.0,YES
60,3.0,YES
61,1.5,YES
62,0.5,NO
63,2.25,YES
64,4.0,YES
65,1.75,YES
66,2.75,YES
67,2.25,NO
68,1.75,YES
69,2.5,YES
70,2.0,NO
71,0.75,NO
72,2.0,YES
73,1.5,NO
74,0.75,YES
75,2.5,NO
76,1.5,YES
77,2.0,NO
78,4.0,YES
79,4.0,YES
